eventid,event_date,year,month,day,region,city,lat,long,success,suicide,group_name,motive,killed,wounded,total_casualties,summary,attack_type,weapon_type,weapon_detail,weapon_detail_new,target_type,target_subtype,corp1,target,nationality
1.99E+11,1/10/1991,1991,1,10,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,1,0,1,,Bombing/Explosion,Explosives,hand grenades,hand grenade,diplomatic,embassy,Italy State Dept.,italian embassy,Italy
1.99E+11,3/29/1991,1991,3,29,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,2,0,2,,Armed Assault,Firearms,automatic firearms,automatic firearm,airports & aircraft,aircraft,,cessna 404,Somalia
1.99E+11,4/24/1991,1991,4,24,Jubbada Hoose,Kismaayo,-0.357847,42.54665,1,0,Islamist extremists,,0,0,0,,Hijacking,Firearms,automatic firearms,automatic firearm,maritime,commercial maritime,,italian ship carrying relief supplies,Italy
1.99E+11,5/18/1991,1991,5,18,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,1,0,1,,Assassination,Firearms,pistol,pistol,government,govt personnel,British Overseas Development Admin. *,brian bowden,Great Britain
1.99E+11,12/11/1991,1991,12,11,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Hijacking,Firearms,automatic firearms,automatic firearm,maritime,oil tanker,,tanker sea skipper,Saudi Arabia
1.99E+11,12/15/1991,1991,12,15,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,2,0,2,,Assassination,Firearms,pistol,pistol,ngo,international ngo,International Red Cross,icrc aid workers,International
1.99E+11,1/5/1992,1992,1,5,Bari,Boosaaso,11.274796,49.179657,1,0,Unknown,,2,3,5,,Assassination,Firearms,pistol,pistol,diplomatic,international organization,Unicef,unicef doctor,International
1.99E+11,1/15/1992,1992,1,15,Jubbada Hoose,Kismaayo,-0.357847,42.54665,1,0,Unknown,,1,0,1,,Assassination,Firearms,automatic firearms,automatic firearm,ngo,international ngo,International Red Cross,icrc employee,Somalia
1.99E+11,4/12/1992,1992,4,12,Sanaag,Ceerigaabo,10.6163,47.366674,1,0,Unknown,,0,0,0,,Hijacking,Explosives,hand grenades,grenade,airports & aircraft,aircraft,Save the Children (Based in U.K.),save the children (based in u.k.),Great Britain
1.99E+11,5/13/1992,1992,5,13,Jubbada Hoose,Kismaayo,-0.357847,42.54665,1,0,Unknown,,,,0,,Hijacking,Firearms,pistol,pistol,ngo,international ngo,International Red Cross (IRC),icrc charter aircraft,International
1.99E+11,8/26/1992,1992,8,26,Jubbada Hoose,Kismaayo,-0.357847,42.54665,1,0,Unknown,,0,0,0,,hostage taking (kidnapping),Unknown,nan,nan,ngo,international ngo,International Red Cross,icrc employees,International
1.99E+11,9/18/1992,1992,9,18,Hiiraan,Beledweyne,4.73538,45.2024,1,0,Unknown,,0,0,0,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international organization,United Nations,un food airlift,United States
1.99E+11,9/25/1992,1992,9,25,Banaadir,Mogadishu,2.059819,45.326115,0,0,Unknown,,0,1,1,,Assassination,Firearms,automatic firearms,rifle,ngo,international ngo,British Save the Children Fund,save the children fund nurse,Great Britain
1.99E+11,10/10/1992,1992,10,10,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,1,1,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international organization,United Nations,unicef vehicle,International
1.99E+11,10/25/1992,1992,10,25,Baay,Baydhaba,3.115641,43.64658,1,0,Unknown,,0,0,0,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international organization,U.N. Relief Aircraft,us air force,International
1.99E+11,11/11/1992,1992,11,11,Baay,Baydhaba,3.115641,43.64658,1,0,Unknown,,0,0,0,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international organization,United Nations,un food convoy,International
1.99E+11,11/11/1992,1992,11,11,Shabeellaha Hoose,Marka,1.716188,44.768864,1,0,Unknown,,0,0,0,,Hijacking,Firearms,automatic firearms,automatic firearm,business,nan,Samaa Asia Shipping,"1,600 ton motor vessel samaa-1",United Arab Emirates
1.99E+11,11/13/1992,1992,11,13,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,1,1,,Armed Assault,Firearms,automatic firearms,automatic firearm,ngo,nan,,somalia relief workers,Somalia
1.99E+11,11/24/1992,1992,11,24,Banaadir,Mogadishu,2.059819,45.326115,1,0,Somali Guerrillas,,0,0,0,,Bombing/Explosion,Explosives,rocket,rocket,diplomatic,international organization,United Nations World Food Program,un chartered ship,International
1.99E+11,11/25/1992,1992,11,25,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,1,1,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international organization,United Nations,un vehicle,International
1.99E+11,12/9/1992,1992,12,9,Banaadir,Mogadishu,2.059819,45.326115,0,0,Unknown,,0,1,1,,Assassination,Firearms,automatic firearms,automatic firearm,diplomatic,international organization,United Nations,wfp official,International
1.99E+11,12/17/1992,1992,12,17,Gedo,Baardheere,2.349308,42.280334,1,0,Al Ittixaad Al Islami (AIAI),,1,0,1,,Assassination,Firearms,pistol,pistol,religious figures/institutions,religious figure,Moslem Clergy,islamic scholar,Somalia
1.99E+11,12/23/1992,1992,12,23,Gedo,Baardheere,2.349308,42.280334,1,0,Unknown,,1,2,3,,Bombing/Explosion,Explosives,mines,mine,government,govt building,Government U.S.,us govt vehicle,United States
1.99E+11,1/1/1994,1994,1,1,Baay,Baydhaba,3.115641,43.64658,1,0,Unknown,,1,1,2,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international organization,World Food Program,wfp compound,International
1.99E+11,1/10/1994,1994,1,10,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,hostage taking (kidnapping),Unknown,nan,nan,diplomatic,international organization,World Food Program,wfp finance officer,International
1.99E+11,1/13/1994,1994,1,13,Jubbada Dhexe,Jilib,0.495342,42.777893,1,0,Unknown,,0,5,5,,Bombing/Explosion,Explosives,explosive devices,explosive,diplomatic,international organization,United Nations,un convoy,International
1.99E+11,1/21/1994,1994,1,21,Hiiraan,Beledweyne,4.73538,45.2024,1,0,Unknown,,1,0,1,,Armed Assault,Firearms,automatic firearms,automatic firearm,military,german military,German military,german forces,Germany
2.00E+11,11/8/1995,1995,11,8,Shabeellaha Hoose,Marka,1.716188,44.768864,1,0,Unknown,,0,0,0,,hostage taking (kidnapping),Unknown,nan,nan,ngo,international ngo,UNK,aid agency,Italy
1.99E+11,1/31/1994,1994,1,31,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,8,24,32,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,diplomatic personnel,US State Dept.,us diplomatic vehicle convoy,
1.99E+11,2/1/1994,1994,2,1,Baay,Baydhaba,3.115641,43.64658,1,0,Unknown,,0,1,1,,Bombing/Explosion,Explosives,explosive devices,explosive,ngo,international ngo,"World Vision Charity, US group",world vision charty office,United States
1.99E+11,2/6/1994,1994,2,6,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Bombing/Explosion,Explosives,explosive devices,explosive,ngo,international ngo,World Concern,world concern compound,International
1.99E+11,2/6/1994,1994,2,6,Shabeellaha Dhexe,Balcad,2.359127,45.383671,1,0,Unknown,,1,1,2,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international organization,United Nations,un food convoy,Somalia
1.99E+11,2/6/1994,1994,2,6,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,hostage taking (kidnapping),Unknown,nan,nan,ngo,international ngo,International Committee for the Development of Pe*,gino del nero and interpreter,International
1.99E+11,2/10/1994,1994,2,10,Jubbada Hoose,Buula Xaaji,-0.630239,41.984516,1,0,Unknown,,5,0,5,,Armed Assault,Firearms,automatic firearms,automatic firearm,terrorists/non-state militia,non-state militia,Somali Patriotic Movement,unit,Somalia
1.99E+11,2/11/1994,1994,2,11,Banaadir,Mogadishu,2.059819,45.326115,0,0,Unknown,,2,0,2,,Assailants attacked,Unknown,automatic firearms,nan,diplomatic,international organization,United Nations,un compound,International
1.99E+11,2/13/1994,1994,2,13,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,1,0,1,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international organization,United Nations,un convoy,International
2.01E+11,12/8/2014,2014,12,8,Gedo,Garbahaareey,3.503923,42.236243,1,0,Al Shabaab,,2,,2,"12/08/2014: Assailants attacked Adawe Guulle village, Gedo region, Somalia. This was one of two villages targeted in Gedo on this date. Four soldiers were killed and several civilians were wounded across both attacks. No group claimed responsibility for the incident; however, sources attributed it to Al-Shabaab.",Assailants attacked,Unknown,automatic firearms,nan,private citizens & property,village,Adawe Guulle Village,adawe guulle village,Somalia
2.02E+11,2/10/2018,2018,2,10,Shabeellaha Hoose,Afgooye,2.14383,45.118061,1,0,Al Shabaab,,,3,3,"02/10/2018: Assailants opened fire on military positions and raided Afgoye, Lower Shebelle, Somalia. In addition to an unknown number of assailant casualties, at least three civilians were injured in the ensuing clash with security forces. Al-Shabaab claimed responsibility for the attack.",Armed Assault,Firearms,automatic firearms,nan,private citizens & property,town,Afgoye Town,afgooye town,Somalia
2.00E+11,12/18/1995,1995,12,18,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,hostage taking (kidnapping),Unknown,nan,nan,ngo,international ngo,,aid agency,Italy
2.02E+11,2/12/2018,2018,2,12,Shabeellaha Hoose,Afgooye,2.14383,45.118061,0,0,Al Shabaab,"The specific motive is unknown; however, sources stated that the attack was carried out in response to security operations.",3,4,7,"02/12/2018: Assailants attacked Afgoye, Lower Shebelle, Somalia. At least three assailants were killed and four assailants were injured in the ensuing clash with military forces. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",Assailants attacked,Unknown,automatic firearms,nan,private citizens & property,town,Afgoye Town,afgooye town,Kenya
1.99E+11,2/27/1994,1994,2,27,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,1,0,1,,Armed Assault,Firearms,automatic firearms,automatic firearm,military,military base,US military,us military,United States
1.99E+11,3/1/1994,1994,3,1,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,1,1,,Armed Assault,Firearms,automatic firearms,automatic firearm,military,military unit/patrol/convoy,Italian Military,unit erecting tents for cholera victims,Italy
1.99E+11,3/1/1994,1994,3,1,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Armed Assault,Firearms,automatic firearms,automatic firearm,military,military unit/patrol/convoy,US military,US vehicle convoy,United States
1.99E+11,3/4/1994,1994,3,4,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,1,0,1,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,embassy,Italy state department,italian embassy,Italy
1.99E+11,3/4/1994,1994,3,4,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,,,0,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international peacekeepers,United Nations,un egyptian unit,International
1.99E+11,3/4/1994,1994,3,4,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,1,1,,Bombing/Explosion,Explosives,mortar shells,mortar,diplomatic,international peacekeepers,United Nations,un pakistan force,International
1.99E+11,3/5/1994,1994,3,5,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,1,1,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international peacekeepers,United Nations,un egyptian unit,International
1.99E+11,3/8/1994,1994,3,8,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Armed Assault,Firearms,automatic firearms,automatic firearm,military,military base,US military,us military,United States
1.99E+11,3/12/1994,1994,3,12,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,hostage taking (kidnapping),Firearms,pistol,pistol,business,retail,Morris Catering Austrailia,wayne hargreaves,New Zealand
1.99E+11,3/15/1994,1994,3,15,Baay,Baydhaba,3.115641,43.64658,1,0,Unknown,,9,5,14,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international organization,United Nations,un relief convoy,International
1.99E+11,3/20/1994,1994,3,20,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,2,0,2,,Assassination,Firearms,automatic firearms,automatic firearm,journalists & media,television journalist,RAi-3 Television,rai-3 televission journalist,Italy
1.99E+11,3/28/1994,1994,3,28,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,1,3,4,,Armed Assault,Firearms,AK-47 assault rifles,ak-47,diplomatic,international peacekeepers,United nations,un egyptian unit,International
1.99E+11,3/28/1994,1994,3,28,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Armed Assault,Firearms,AK-47 assault rifles,ak-47,diplomatic,international peacekeepers,United Nations,un egyptian unit,International
1.99E+11,3/28/1994,1994,3,28,Jubbada Hoose,Kismaayo,-0.357847,42.54665,1,0,Unknown,,2,0,2,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international organization,United Nations,civilian un vehicle,International
1.99E+11,3/31/1994,1994,3,31,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,1,0,1,,hostage taking (kidnapping),Firearms,automatic firearms,automatic firearm,ngo,international ngo,International Red Cross,icrc us national alfred petters,International
1.99E+11,4/18/1994,1994,4,18,Jubbada Hoose,Afmadow,0.515556,42.073334,1,0,Unknown,,1,0,1,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international organization,United Nations,un aircraft,International
1.99E+11,4/19/1994,1994,4,19,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,hostage taking (kidnapping),Firearms,automatic firearms,automatic firearm,diplomatic,diplomatic personnel,Sudan State Dept.,sudanese ambassador,Sudan
1.99E+11,5/16/1994,1994,5,16,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,5,1,6,,Armed Assault,Firearms,automatic firearms,automatic firearm,diplomatic,international organization,United Nations,un nepal contingent,International
1.99E+11,5/17/1994,1994,5,17,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,hostage taking (kidnapping),Unknown,nan,nan,diplomatic,international peacekeepers,United Nations,un nepal contingent,International
1.99E+11,6/18/1994,1994,6,18,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,hostage taking (kidnapping),Firearms,automatic firearms,firearm,journalists & media,journalist,AP,ap staff,United States
1.99E+11,6/26/1994,1994,6,26,Banaadir,Mogadishu,2.059819,45.326115,0,0,Unknown,,0,1,1,,Assassination,Unknown,nan,nan,diplomatic,international peacekeepers,United Nations,un pakistan unit,International
1.99E+11,7/23/1994,1994,7,23,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,1,1,,Armed Assault,Firearms,automatic firearms,firearm,diplomatic,international peacekeepers,UN peace-keeper,un peace-keeper from pakistan,International
1.99E+11,7/24/1994,1994,7,24,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Hijacking,Firearms,automatic firearms,nan,food or water supply,food supply,UN operation in Somolia (UNOSOM),wfp convoy,International
2.00E+11,9/19/1996,1996,9,19,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,hostage taking (kidnapping),Unknown,nan,nan,ngo,international ngo,,aid agency,Somalia
2.01E+11,11/28/2011,2011,11,28,Hiiraan,Beledweyne,4.73538,45.2024,1,0,Al Shabaab,"Specific motive is unknown; however, the attacks followed the announcement that the militant group was banning 16 aid agencies, including UNICEF.  The ban was in response to the ""illegal acts"" perpetrated by the agencies, such as exaggerating the caliber of the problems within Somalia for financial and political gain.",0,0,0,"11/28/2011: Members of Al-Shabaab stormed an international aid office in Beledweyne, Hiran province, Somalia. Gunmen forced staff members to leave and occupied the space, shutting the office down. There were no reported casualties or injuries; however, witnesses reported seeing the attackers removing office equipment and vaccines from the agency. This incident was part of a coordinated attack; Al-Shabaab members stormed other international aid offices in the country at the same time. The attacks followed the announcement that the militant group was banning 16 aid agencies, including UNICEF; the ban was in response to the ""illegal acts"" perpetrated by the agencies, such as exaggerating the caliber of the problems within Somalia for financial and political gain.",facility/infrastructure attack,Firearms,automatic firearms,nan,ngo,international ngo,Aid agency,aid agency,International
2.02E+11,1/15/2019,2019,1,15,Shabeellaha Hoose,Afgooye,2.14383,45.118061,1,0,Al Shabaab,,12,10,22,"01/15/2019: Assailants attacked Afgoye, Lower Shebelle, Somalia. At least 12 people, including two soldiers and 10 assailants, were killed and 10 other assailants were injured in the ensuing clash with security forces. Al-Shabaab claimed responsibility for the incident.",Armed Assault,Firearms,automatic firearms,nan,private citizens & property,town,Afgoye Town,afgooye town,Somalia
1.99E+11,9/1/1994,1994,9,1,Jubbada Dhexe,Bu'aale,1.122156,42.657165,1,0,Muslim Fundamentalists,,4,0,4,,Assassination,Unknown,nan,nan,journalists & media,journalist,unk,swiss journalist,Switzerland
1.99E+11,9/3/1994,1994,9,3,Shabeellaha Hoose,Marka,1.716188,44.768864,1,0,Muslim Fundamentalists,,0,0,0,,Bombing/Explosion,Explosives,explosive devices,explosive,Educational Institution,school,unk,school operated by italian christian missionaries,Italy
1.99E+11,9/9/1994,1994,9,9,Shabeellaha Dhexe,Balcad,2.359127,45.383671,0,0,U/I Somali Militiamen,,4,0,4,,Armed Assault,Firearms,automatic firearms,firearm,diplomatic,international peacekeepers,UN Peacekeepers,un zimbabwean battalion,International
1.99E+11,9/29/1994,1994,9,29,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,8,16,24,,Assailants attacked,Unknown,automatic firearms,nan,diplomatic,international peacekeepers,UN peacekeepers,un convoy,India
2.01E+11,11/28/2011,2011,11,28,Baay,Diinsoor,2.405815,42.97707,1,0,Al Shabaab,"Specific motive is unknown; however, the attacks followed the announcement that the militant group was banning 16 aid agencies, including UNICEF.  The ban was in response to the ""illegal acts"" perpetrated by the agencies, such as exaggerating the caliber of the problems within Somalia for financial and political gain.",0,0,0,"11/28/2011: Members of Al-Shabaab stormed an international aid office in Dinsoor, Bay region, Somalia. Gunmen forced staff members to leave and occupied the space, shutting the office down. There were no reported casualties or injuries; however, witnesses reported seeing the attackers removing office equipment and vaccines from the agency. This incident was part of a coordinated attack; Al-Shabaab members stormed other international aid offices in the country at the same time. The attacks followed the announcement that the militant group was banning 16 aid agencies, including UNICEF; the ban was in response to the ""illegal acts"" perpetrated by the agencies, such as exaggerating the caliber of the problems within Somalia for financial and political gain.",facility/infrastructure attack,Firearms,automatic firearms,nan,ngo,international ngo,Aid agency,aid agency,International
1.99E+11,11/30/1994,1994,11,30,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,Hijacking,Unknown,nan,nan,diplomatic,international organization,,un troops,International
1.99E+11,12/5/1994,1994,12,5,Woqooyi Galbeed,Berbera,10.43959,45.01432,1,0,Unknown,,0,0,0,,Hijacking,Unknown,nan,nan,airports & aircraft,aircraft,,airplane-air djibouti,Somalia
2.01E+11,11/28/2011,2011,11,28,Bakool,Waajid,3.810951,43.246506,1,0,Al Shabaab,"Specific motive is unknown; however, the attacks followed the announcement that the militant group was banning 16 aid agencies, including UNICEF.  The ban was in response to the ""illegal acts"" perpetrated by the agencies, such as exaggerating the caliber of the problems within Somalia for financial and political gain.",0,0,0,"11/28/2011: Members of Al-Shabaab stormed an international aid office in Wajid, Bakool Region, Somalia. Gunmen forced staff members to leave and occupied the space, shutting the office down. There were no reported casualties or injuries; however, witnesses reported seeing the attackers removing office equipment and vaccines from the agency. This incident was part of a coordinated attack; Al-Shabaab members stormed other international aid offices in the country at the same time. The attacks followed the announcement that the militant group was banning 16 aid agencies, including UNICEF; the ban was in response to the ""illegal acts"" perpetrated by the agencies, such as exaggerating the caliber of the problems within Somalia for financial and political gain.",facility/infrastructure attack,Firearms,automatic firearms,nan,ngo,international ngo,Aid agency,aid agency,Somalia
2.02E+11,1/16/2017,2017,1,16,Shabeellaha Hoose,Afgooye,2.14383,45.118061,1,0,Al Shabaab,,1,0,1,"01/16/2017: Assailants attacked Afgoye town in Lower Shebelle, Somalia. A police commander was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",Assailants attacked,Unknown,automatic firearms,nan,private citizens & property,town,Afgoye,afgooye town ,Somalia
2.01E+11,10/21/2014,2014,10,21,Hiiraan,War-dagaal,4.736792,45.204822,1,0,Al Shabaab,,7,,7,"10/21/2014: Assailants attacked a Somali Armed Forces (SAF) aid supply convoy traveling to War-dagaal village, Hiiraan Region, Somalia. Seven assailants were killed in the ensuing clash. No group claimed responsibility; however, military sources attributed the attack to Al-Shabaab.",Assailants attacked,Unknown,automatic firearms,nan,military,military unit/patrol/convoy,Somali Armed Forces (SAF),aid supply convoy,Somalia
1.99E+11,12/29/1994,1994,12,29,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,hostage taking (kidnapping),Unknown,nan,nan,ngo,nan,,aid workers,Somalia
2.00E+11,2/22/1995,1995,2,22,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,1,2,3,,Armed Assault,Firearms,automatic firearms,firearm,diplomatic,international organization,,un staff,Somalia
2.01E+11,10/25/2008,2008,10,25,Galguduud,Guriceel,5.308011,45.880356,1,0,Unknown,The specific motive for the attack is unknown.,1,0,1,"10/25/2008: On Saturday, a female Somali aid worker was shot and killed, in the city of Gurilel in Galgudud province of central Somalia.  According to a statement by the head of the Lida Aid organization, Duniya Sheik Daud was shot by unknown gunmen, on her way home.  An unknown weapon was used in this attack and no group claimed responsibility.",Armed Assault,Firearms,automatic firearms,unknown firearms were used in the attack.,ngo,domestic ngo,Lida Aid,aid workers,Somalia
2.00E+11,3/29/1995,1995,3,29,Woqooyi Galbeed,Hargeisa,9.556936,44.074135,1,0,Unknown,,1,0,1,,Assassination,Unknown,nan,nan,government,govt personnel,,gov't minister,Somalia
2.01E+11,7/15/2011,2011,7,15,Gedo,Beledxaawo,3.926858,41.877171,1,0,Al Shabaab,The specific motive for the attack is unknown.,0,0,0,"07/15/2011: On Friday, in the village of Aarase near Beled Haawo, Gedo, Somalia, unidentified gunmen stopped two aid vehicles and took hostage three aid workers; no casualties were reported. The gunmen also set fire to the two aid vehicles. The aid workers were later released unharmed. No group claimed responsibility, but the militant group al-Shabaab was thought to be responsible for the attack.",hostage taking (kidnapping),Firearms,automatic firearms,unknown firearms were used in the attack.,ngo,domestic ngo,,aid workers,Somalia
2.01E+11,6/16/2008,2008,6,16,Galguduud,Ceel Dheer,4.051783,47.046204,1,0,Unknown,The specific motive for the attack is unknown.,0,0,0,"06/16/2008: On Monday, in Ceel Dheere, Galguduud, Somalia, armed assailants kidnapped one humanitarian. No group claimed responsibility, although the victim had reportedly previously received threats from the assailants.",hostage taking (kidnapping),Unknown,unknown weapons,it is unknown if weapons were used in the attack.,private citizens & property,civilians,,aid workers,Somalia
2.00E+11,8/21/1995,1995,8,21,Woqooyi Galbeed,Hargeisa,9.556936,44.074135,1,0,Unknown,,0,0,0,,hostage taking (kidnapping),Unknown,nan,nan,diplomatic,nan,,nan,Sweden
2.01E+11,2/25/2014,2014,2,25,Banaadir,Mogadishu,2.059818,45.326114,1,0,Al Shabaab,,1,0,1,"02/25/2014: Assailants shot and killed a woman administering polio vaccinations in Labo-Dhagax village, Wardhigley, Mogadishu, Somalia. No group claimed responsibility for the incident; however, sources suspect that Al-Shabaab was involved.",Armed Assault,Firearms,automatic firearms,nan,private citizens & property,civilians,Unknown,aid workers,Somalia
2.00E+11,9/5/1995,1995,9,5,Banaadir,Mogadishu,2.059819,45.326115,1,0,Unknown,,0,0,0,,hostage taking (kidnapping),Unknown,nan,nan,journalists & media,journalist,,news reporter ali musa abdi,Somalia
2.00E+11,10/22/1995,1995,10,22,Shabeellaha Hoose,Marka,1.716188,44.768864,1,0,Unknown,,1,1,2,,Armed Assault,Firearms,small caliber,small caliber,ngo,international ngo,Italia Caritas,italian clinic,Italy
2.01E+11,12/19/2012,2012,12,19,Banaadir,Mogadishu,2.059818,45.326114,1,0,Unknown,,1,0,1,"12/19/2012: Two assailants shot and killed a local aid worker in the Dharkeynley area of Mogadishu city, Banaadir region, Somalia. No group claimed responsibility for the incident.",Armed Assault,Firearms,automatic firearms,nan,ngo,domestic ngo,Unknown,aid workers,Somalia
